City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
hermanus,-34.4187,19.2345,52.75,overcast clouds,0.0,0.0,70,100,4.29,ZA
bambanglipuro,-7.95,110.2833,79.93,overcast clouds,0.0,0.0,70,99,14.34,ID
khatanga,71.9667,102.5,59.16,overcast clouds,0.0,0.0,60,100,10.56,RU
rikitea,-23.1203,-134.9692,74.43,light rain,0.71,0.0,82,99,24.9,PF
caravelas,-17.7125,-39.2481,69.96,few clouds,0.0,0.0,90,11,6.31,BR
airai,-8.9266,125.4092,68.72,scattered clouds,0.0,0.0,40,42,4.41,TL
laguna,38.421,-121.4238,100.45,clear sky,0.0,0.0,28,0,11.5,US
new norfolk,-42.7826,147.0587,53.92,clear sky,0.0,0.0,75,2,1.01,AU
bluff,-46.6,168.3333,43.81,overcast clouds,0.0,0.0,71,99,7.72,NZ
haikou,20.0458,110.3417,87.93,broken clouds,0.0,0.0,70,75,4.47,CN
beloha,-25.1667,45.05,62.15,clear sky,0.0,0.0,81,0,3.74,MG
casino,-28.8667,153.05,60.78,overcast clouds,0.0,0.0,93,100,10.4,AU
kapaa,22.0752,-159.319,85.98,scattered clouds,0.0,0.0,71,40,17.27,US
puerto ayora,-0.7393,-90.3518,67.55,broken clouds,0.0,0.0,97,69,5.01,EC
ushuaia,-54.8,-68.3,29.86,snow,0.0,0.0,93,100,31.07,AR
lebu,-37.6167,-73.65,51.96,overcast clouds,0.0,0.0,91,100,14.09,CL
cayenne,4.9333,-52.3333,79.09,broken clouds,0.0,0.0,1,56,2.3,GF
dunedin,-45.8742,170.5036,47.8,overcast clouds,0.0,0.0,72,100,1.99,NZ
katsuura,35.1333,140.3,82.42,light rain,0.14,0.0,86,54,17.09,JP
cape town,-33.9258,18.4232,57.38,clear sky,0.0,0.0,84,0,3.44,ZA
bredasdorp,-34.5322,20.0403,46.96,overcast clouds,0.0,0.0,83,100,4.54,ZA
vaini,-21.2,-175.2,74.05,scattered clouds,0.0,0.0,76,43,11.81,TO
fortuna,40.5982,-124.1573,63.93,scattered clouds,0.0,0.0,78,44,5.99,US
merauke,-8.4667,140.3333,79.5,broken clouds,0.0,0.0,73,53,10.56,ID
letlhakane,-21.4167,25.5833,53.78,scattered clouds,0.0,0.0,83,35,9.91,BW
carnarvon,-24.8667,113.6333,64.2,clear sky,0.0,0.0,60,0,19.06,AU
hilo,19.7297,-155.09,84.27,overcast clouds,0.0,0.0,83,100,8.05,US
olavarria,-36.8927,-60.3225,43.99,few clouds,0.0,0.0,45,17,3.33,AR
denpasar,-8.65,115.2167,82.06,scattered clouds,0.0,0.0,74,40,10.36,ID
marawi,7.9986,124.2928,82.42,overcast clouds,0.0,0.0,59,87,0.72,PH
kodiak,57.79,-152.4072,54.91,overcast clouds,0.0,0.0,82,100,5.75,US
saint-philippe,-21.3585,55.7679,65.21,scattered clouds,0.0,0.0,71,27,11.07,RE
ribeira grande,38.5167,-28.7,72.54,scattered clouds,0.0,0.0,88,38,2.82,PT
torbay,47.6666,-52.7314,60.76,clear sky,0.0,0.0,86,0,4.61,CA
albany,42.6001,-73.9662,79.21,clear sky,0.0,0.0,72,0,3.65,US
nenjiang,49.1833,125.2167,79.9,scattered clouds,0.0,0.0,57,34,7.34,CN
atuona,-9.8,-139.0333,77.36,clear sky,0.0,0.0,71,3,15.05,PF
samfya,-11.3649,29.5565,64.26,broken clouds,0.0,0.0,51,82,9.33,ZM
siyabuswa,-25.1132,29.0445,55.17,few clouds,0.0,0.0,73,16,3.49,ZA
upernavik,72.7868,-56.1549,44.11,light rain,0.62,0.0,97,100,22.21,GL
touros,-5.1989,-35.4608,73.24,overcast clouds,0.0,0.0,90,100,8.5,BR
las palmas,28.4204,-14.0131,72.39,clear sky,0.0,0.0,69,0,12.66,ES
luderitz,-26.6481,15.1594,61.0,clear sky,0.0,0.0,55,0,8.03,NA
bordighera,43.7806,7.6645,79.56,clear sky,0.0,0.0,70,0,4.18,IT
palmer,42.1584,-72.3287,81.01,clear sky,0.0,0.0,78,3,2.17,US
hasaki,35.7333,140.8333,86.29,light rain,0.27,0.0,82,15,18.68,JP
arraial do cabo,-22.9661,-42.0278,70.83,clear sky,0.0,0.0,84,3,15.01,BR
avarua,-21.2078,-159.775,77.05,scattered clouds,0.0,0.0,69,40,18.41,CK
kahului,20.8947,-156.47,87.82,scattered clouds,0.0,0.0,62,40,24.16,US
clyde river,70.4692,-68.5914,37.63,light rain,0.0,0.0,100,100,4.61,CA
tiksi,71.6872,128.8694,45.09,broken clouds,0.0,0.0,77,63,7.78,RU
hithadhoo,-0.6,73.0833,78.17,overcast clouds,0.0,0.0,85,100,13.13,MV
busselton,-33.65,115.3333,61.2,overcast clouds,0.0,0.0,79,98,10.65,AU
padang,-0.9492,100.3543,82.45,broken clouds,0.0,0.0,71,81,1.23,ID
aksu,41.1231,80.2644,82.96,clear sky,0.0,0.0,22,0,4.76,CN
punta arenas,-53.15,-70.9167,32.11,few clouds,0.0,0.0,86,20,17.27,CL
bonavista,48.6499,-53.1147,55.87,overcast clouds,0.0,0.0,93,90,3.22,CA
avera,33.194,-82.5271,78.31,overcast clouds,0.0,0.0,82,95,7.63,US
langsa,4.4683,97.9683,81.03,light rain,0.11,0.0,78,85,2.24,ID
boyolangu,-8.1181,111.8935,78.26,overcast clouds,0.0,0.0,78,98,10.29,ID
santa cruz,-17.8,-63.1667,71.06,scattered clouds,0.0,0.0,78,50,6.91,BO
rio branco,-9.9747,-67.81,72.21,clear sky,0.0,0.0,83,0,3.44,BR
east london,-33.0153,27.9116,57.18,clear sky,0.0,0.0,78,0,8.32,ZA
gat,31.61,34.7642,76.41,clear sky,0.0,0.0,100,0,0.67,IL
gizo,-8.103,156.8419,84.47,overcast clouds,0.0,0.0,66,93,6.55,SB
ilulissat,69.2167,-51.1,50.02,broken clouds,0.0,0.0,87,75,3.44,GL
severo-kurilsk,50.6789,156.125,53.19,moderate rain,3.76,0.0,95,100,22.15,RU
jaciara,-15.9653,-54.9683,71.02,few clouds,0.0,0.0,41,21,3.18,BR
arcachon,44.5875,-1.0519,68.41,mist,0.0,0.0,82,8,4.61,FR
korla,41.7597,86.1469,82.45,clear sky,0.0,0.0,26,0,6.02,CN
tuatapere,-46.1333,167.6833,44.22,overcast clouds,0.0,0.0,92,100,3.13,NZ
saint george,37.1041,-113.5841,106.63,clear sky,0.0,0.0,12,0,13.8,US
hobart,-42.8794,147.3294,54.27,few clouds,0.0,0.0,70,20,10.36,AU
mataura,-46.1927,168.8643,43.48,overcast clouds,0.0,0.0,88,100,2.35,NZ
